composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Ring_motif,contour,0.8571,426,433,contour,0
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Ring_motif,contour,0.8571,249,256,contour,0
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Ring_motif,contour,0.8571,148,155,contour,0
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Ring_motif,contour,0.8571,81,88,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,191,198,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,79,86,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,66,73,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,20,27,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,7,14,contour,0
ennio_morricone,Here's to you - Ennio Morricone,Ring_motif,contour,0.8571,70,77,contour,0
ennio_morricone,Here's to you - Ennio Morricone,Ring_motif,contour,0.8571,110,117,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,3276,3283,contour,0
ennio_morricone,La Califfa - Ennio Morricone,Ring_motif,contour,0.8571,34,41,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,3542,3549,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,3754,3761,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,3791,3798,contour,0
