composer,score,leitmotif,match_class,combined_score,interval_sim,contour_sim,rhythm_sim,start_note_idx,end_note_idx,edit_distance
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,158,162,0
ennio_morricone,Gabriel's Oboe – Ennio Morricone Gabriel's Oboe – The Falls,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,60,64,0
john_williams,Indiana jones theme – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,3,7,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,128,132,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,12,16,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,31,35,0
max_steiner,Main Theme - Gone With The Wind – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,138,142,0
max_steiner,Main Theme - Gone With The Wind – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,98,102,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,63,67,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold The Archery Tournament,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,541,545,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,51,55,0
ennio_morricone,Gabriel's Oboe from The Mission - Ennio Morricone (Brass Quintet),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,127,131,0
ennio_morricone,Gabriel's Oboe from The Mission - Ennio Morricone (Brass Quintet),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,59,63,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,111,115,0
john_williams,Saving Private Ryan _ Revisiting Normandy By John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,5,9,0
ennio_morricone,Gabriel's Oboe – Ennio Morricone Gabriel's Oboe – The Falls,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,129,133,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,192,196,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,91,95,0
max_steiner,Gone With The Wind Suite – Max Steiner,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,628,634,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,591,597,0
ennio_morricone,La Califfa - Ennio Morricone,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,103,109,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,187,193,0
ennio_morricone,Mon nom est personne - Ennio Morricone,SwirlingBlaze_motif,strong,0.76,0.6,1.0,0.8,254,260,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,Ride_motif,strong,0.76,0.6,1.0,0.8,5,11,0
